timestamp_human;timestamp;component;topic;check;check_id;error_sequence_count;error_count;warning_count;success_count;check_count;is_periodic;severity;error_message
2021-10-08 16:23:25.877526283;1.633.703.005.877.520.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;420;840;1259;1680;3779;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:23:26.880917072;1.633.703.006.880.910.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;421;841;1261;1680;3782;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:27.399710894;1.633.703.007.399.710.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;422;422;0;3361;3783;0;2;Cycletime 131 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:27.399866581;1.633.703.007.399.860.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;422;422;0;3361;3783;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:27.556703329;1.633.703.007.556.700.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;422;2506;0;1278;3784;0;0;Timestamps difference 1981.84 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:27.556786776;1.633.703.007.556.780.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;421;842;1261;1681;3784;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:27.731230497;1.633.703.007.731.230.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;422;422;0;3362;3784;0;0;Cycletime 358 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:27.731301308;1.633.703.007.731.300.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;422;422;0;3362;3784;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:28.877479315;1.633.703.008.877.470.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;423;2507;0;1281;3788;0;2;Timestamps difference 1867.73 ms is not in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:28.877775431;1.633.703.008.877.770.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;421;842;1262;1684;3788;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:23:29.428070068;1.633.703.009.428.070.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;216;1078;1294;0;1;Error: I stay in error for 1 second
2021-10-08 16:23:29.873826742;1.633.703.009.873.820.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;422;843;1264;1684;3791;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:30.398468971;1.633.703.010.398.460.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;423;423;0;3369;3792;0;2;Cycletime 133 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:30.398522139;1.633.703.010.398.520.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;423;423;0;3369;3792;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:30.428478956;1.633.703.010.428.470.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;216;1079;1295;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:23:30.544616222;1.633.703.010.544.610.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;423;2511;0;1282;3793;0;0;Timestamps difference 1966.33 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:30.544788837;1.633.703.010.544.780.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;422;844;1264;1685;3793;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:30.733367205;1.633.703.010.733.360.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;423;423;0;3370;3793;0;0;Cycletime 358 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:30.733436584;1.633.703.010.733.430.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;423;423;0;3370;3793;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:31.543980837;1.633.703.011.543.980.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;424;2512;0;1284;3796;0;2;Timestamps difference 1891.86 ms is not in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:31.876084805;1.633.703.011.876.080.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;422;844;1265;1688;3797;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
